name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,10901,FI,2,3,3,4,5,5.0,4,6
ESS10e03_3,2122025,10908,FI,9,9,7,9,8,5.0,6,8
ESS10e03_3,2122025,10913,FI,9,9,7,9,10,10.0,7,7
ESS10e03_3,2122025,10928,FI,6,8,6,8,5,7.5,9,7
ESS10e03_3,2122025,10958,FI,9,8,7,8,6,5.0,9,9
ESS10e03_3,2122025,10974,FI,7,7,4,5,8,5.0,7,6
ESS10e03_3,2122025,10998,FI,7,10,8,5,2,7.5,2,6
ESS10e03_3,2122025,11021,FI,9,9,6,9,8,2.5,6,8
ESS10e03_3,2122025,11039,FI,10,10,7,8,3,,6,10
ESS10e03_3,2122025,11047,FI,10,10,6,8,9,10.0,7,6
ESS10e03_3,2122025,11058,FI,7,8,7,7,8,7.5,5,8
ESS10e03_3,2122025,11065,FI,7,8,4,3,,10.0,5,4
ESS10e03_3,2122025,11070,FI,9,9,6,8,8,2.5,7,7
ESS10e03_3,2122025,11105,FI,8,9,6,9,7,7.5,5,7
ESS10e03_3,2122025,11120,FI,3,8,5,7,1,7.5,8,8
ESS10e03_3,2122025,11128,FI,9,10,8,10,6,5.0,9,9
ESS10e03_3,2122025,11130,FI,6,9,4,10,2,10.0,5,7
ESS10e03_3,2122025,11131,FI,1,9,0,0,6,10.0,3,0
ESS10e03_3,2122025,11135,FI,7,7,5,8,0,10.0,9,8
ESS10e03_3,2122025,11139,FI,6,8,4,8,8,10.0,4,5
ESS10e03_3,2122025,11146,FI,8,9,8,9,6,2.5,7,1
ESS10e03_3,2122025,11164,FI,5,9,3,8,6,7.5,4,6
ESS10e03_3,2122025,11174,FI,8,9,5,6,5,7.5,5,8
ESS10e03_3,2122025,11183,FI,9,9,8,9,6,7.5,7,7
ESS10e03_3,2122025,11195,FI,9,9,8,9,8,5.0,8,9
ESS10e03_3,2122025,11205,FI,7,8,5,7,8,5.0,7,7
ESS10e03_3,2122025,11216,FI,8,9,6,9,3,10.0,7,7
ESS10e03_3,2122025,11227,FI,10,10,7,6,8,5.0,3,1
ESS10e03_3,2122025,11232,FI,7,10,3,9,8,7.5,3,8
ESS10e03_3,2122025,11237,FI,6,6,3,8,5,7.5,7,5
ESS10e03_3,2122025,11251,FI,8,8,8,10,10,2.5,5,3
ESS10e03_3,2122025,11269,FI,8,9,7,9,4,7.5,8,9
ESS10e03_3,2122025,11271,FI,9,9,7,9,5,7.5,9,8
ESS10e03_3,2122025,11298,FI,8,9,3,8,5,7.5,6,6
ESS10e03_3,2122025,11328,FI,8,9,7,9,5,5.0,5,7
ESS10e03_3,2122025,11365,FI,8,9,5,9,5,10.0,3,8
ESS10e03_3,2122025,11368,FI,9,8,5,9,8,5.0,6,7
ESS10e03_3,2122025,11375,FI,6,8,2,6,7,10.0,4,6
ESS10e03_3,2122025,11386,FI,3,8,2,7,5,10.0,4,5
ESS10e03_3,2122025,11387,FI,10,10,8,10,9,7.5,5,9
ESS10e03_3,2122025,11422,FI,9,9,7,8,9,7.5,5,8
ESS10e03_3,2122025,11424,FI,10,10,6,9,9,10.0,9,10
ESS10e03_3,2122025,11429,FI,7,10,7,9,9,2.5,5,7
ESS10e03_3,2122025,11431,FI,10,10,8,9,7,5.0,5,0
ESS10e03_3,2122025,11432,FI,10,8,7,7,8,5.0,6,8
ESS10e03_3,2122025,11433,FI,6,8,6,8,6,10.0,7,2
ESS10e03_3,2122025,11451,FI,8,9,6,8,5,7.5,3,5
ESS10e03_3,2122025,11469,FI,5,7,5,7,5,7.5,7,8
ESS10e03_3,2122025,11487,FI,9,8,7,9,3,10.0,8,8
ESS10e03_3,2122025,11491,FI,7,7,4,7,8,10.0,5,5
ESS10e03_3,2122025,11495,FI,5,7,3,7,4,2.5,4,7
ESS10e03_3,2122025,11503,FI,6,9,5,7,8,7.5,3,8
ESS10e03_3,2122025,11509,FI,1,5,1,8,5,7.5,4,5
ESS10e03_3,2122025,11521,FI,8,9,5,9,7,7.5,5,8
ESS10e03_3,2122025,11526,FI,8,8,6,7,6,5.0,7,6
ESS10e03_3,2122025,11542,FI,7,9,6,8,7,5.0,7,7
ESS10e03_3,2122025,11552,FI,10,10,3,7,5,0.0,1,6
ESS10e03_3,2122025,11573,FI,3,7,1,7,7,7.5,4,6
ESS10e03_3,2122025,11590,FI,9,10,5,9,6,2.5,4,3
ESS10e03_3,2122025,11621,FI,8,9,6,9,8,7.5,8,8
ESS10e03_3,2122025,11630,FI,9,10,8,9,8,2.5,5,6
ESS10e03_3,2122025,11635,FI,7,8,4,6,4,10.0,3,6
ESS10e03_3,2122025,11642,FI,6,8,2,8,8,10.0,5,7
ESS10e03_3,2122025,11647,FI,9,9,5,7,8,7.5,6,9
ESS10e03_3,2122025,11649,FI,8,9,7,8,9,7.5,7,8
ESS10e03_3,2122025,11668,FI,4,6,4,7,7,7.5,3,3
ESS10e03_3,2122025,11672,FI,1,6,8,9,6,10.0,3,3
ESS10e03_3,2122025,11715,FI,6,8,3,2,5,10.0,4,1
ESS10e03_3,2122025,11716,FI,5,6,3,6,3,7.5,3,5
ESS10e03_3,2122025,11720,FI,9,9,7,10,3,5.0,5,7
ESS10e03_3,2122025,11724,FI,10,10,9,9,5,5.0,7,9
ESS10e03_3,2122025,11729,FI,8,9,5,9,5,2.5,5,3
ESS10e03_3,2122025,11734,FI,6,7,6,7,5,7.5,5,8
ESS10e03_3,2122025,11738,FI,9,8,7,8,6,10.0,9,6
ESS10e03_3,2122025,11752,FI,8,8,7,9,6,7.5,9,7
ESS10e03_3,2122025,11754,FI,5,5,3,7,3,10.0,8,8
ESS10e03_3,2122025,11779,FI,6,9,6,8,6,7.5,6,5
ESS10e03_3,2122025,11780,FI,8,8,4,8,4,7.5,7,9
ESS10e03_3,2122025,11786,FI,9,9,7,10,7,2.5,8,8
ESS10e03_3,2122025,11810,FI,9,10,4,9,6,5.0,3,2
ESS10e03_3,2122025,11813,FI,8,10,7,10,8,7.5,8,8
ESS10e03_3,2122025,11818,FI,6,8,7,8,5,5.0,5,7
ESS10e03_3,2122025,11819,FI,8,10,5,8,8,2.5,0,9
ESS10e03_3,2122025,11850,FI,9,8,6,9,5,7.5,10,10
ESS10e03_3,2122025,11854,FI,9,9,6,8,5,7.5,7,8
ESS10e03_3,2122025,11860,FI,9,8,4,8,6,5.0,7,7
ESS10e03_3,2122025,11867,FI,8,9,6,8,9,2.5,3,3
ESS10e03_3,2122025,11868,FI,8,9,5,7,7,5.0,5,8
ESS10e03_3,2122025,11874,FI,7,9,6,8,5,7.5,6,3
ESS10e03_3,2122025,11884,FI,8,10,6,8,3,7.5,7,9
ESS10e03_3,2122025,11911,FI,4,6,2,3,8,7.5,2,7
ESS10e03_3,2122025,11922,FI,8,9,7,9,7,7.5,5,4
ESS10e03_3,2122025,11928,FI,1,2,0,6,0,10.0,7,0
ESS10e03_3,2122025,11938,FI,7,8,7,9,4,7.5,5,8
ESS10e03_3,2122025,11944,FI,8,9,5,7,5,7.5,5,8
ESS10e03_3,2122025,11956,FI,9,9,7,9,6,2.5,8,8
ESS10e03_3,2122025,11962,FI,8,7,6,8,7,7.5,7,8
ESS10e03_3,2122025,11970,FI,9,10,4,9,4,2.5,8,10
ESS10e03_3,2122025,11973,FI,8,9,6,5,5,5.0,5,7
ESS10e03_3,2122025,11974,FI,8,7,7,8,2,7.5,8,10
ESS10e03_3,2122025,11982,FI,5,7,5,6,6,7.5,5,5
ESS10e03_3,2122025,11989,FI,9,9,7,9,3,7.5,8,10
ESS10e03_3,2122025,12008,FI,6,7,6,7,5,5.0,2,6
ESS10e03_3,2122025,12030,FI,10,8,8,9,,7.5,7,10
ESS10e03_3,2122025,12064,FI,7,9,3,8,7,5.0,5,10
ESS10e03_3,2122025,12068,FI,9,7,6,9,8,2.5,7,8
ESS10e03_3,2122025,12111,FI,7,9,7,,6,5.0,7,
ESS10e03_3,2122025,12117,FI,9,9,8,8,10,2.5,2,7
ESS10e03_3,2122025,12118,FI,8,9,5,7,5,5.0,5,9
ESS10e03_3,2122025,12119,FI,8,9,5,8,1,10.0,8,9
ESS10e03_3,2122025,12123,FI,7,7,5,6,4,7.5,8,8
ESS10e03_3,2122025,12125,FI,9,9,7,9,10,2.5,4,3
ESS10e03_3,2122025,12136,FI,7,9,6,7,5,7.5,7,8
ESS10e03_3,2122025,12142,FI,4,8,2,9,7,2.5,5,2
ESS10e03_3,2122025,12157,FI,9,9,7,9,5,7.5,6,5
ESS10e03_3,2122025,12165,FI,4,7,4,8,5,7.5,,8
ESS10e03_3,2122025,12173,FI,8,9,8,6,5,7.5,7,7
ESS10e03_3,2122025,12178,FI,10,9,8,9,8,7.5,7,9
ESS10e03_3,2122025,12200,FI,9,8,7,8,3,7.5,8,9
ESS10e03_3,2122025,12201,FI,7,8,3,6,5,7.5,4,6
ESS10e03_3,2122025,12216,FI,9,10,8,9,9,7.5,7,3
ESS10e03_3,2122025,12246,FI,4,6,2,7,5,10.0,2,2
ESS10e03_3,2122025,12250,FI,8,8,6,7,3,7.5,8,9
ESS10e03_3,2122025,12254,FI,8,9,7,9,3,7.5,7,9
ESS10e03_3,2122025,12256,FI,7,8,4,8,4,7.5,7,8
ESS10e03_3,2122025,12262,FI,9,10,7,10,4,5.0,7,8
ESS10e03_3,2122025,12291,FI,9,9,7,9,5,7.5,4,7
ESS10e03_3,2122025,12335,FI,7,8,3,4,4,7.5,5,5
ESS10e03_3,2122025,12366,FI,10,9,5,8,7,10.0,5,10
ESS10e03_3,2122025,12375,FI,8,8,7,9,5,5.0,8,10
ESS10e03_3,2122025,12418,FI,9,8,7,9,3,10.0,8,10
ESS10e03_3,2122025,12424,FI,8,8,7,9,5,7.5,8,7
ESS10e03_3,2122025,12476,FI,2,6,1,0,8,7.5,2,6
ESS10e03_3,2122025,12479,FI,9,9,8,9,8,5.0,5,7
ESS10e03_3,2122025,12503,FI,10,10,7,10,7,10.0,5,10
ESS10e03_3,2122025,12571,FI,9,9,8,9,6,7.5,7,7
ESS10e03_3,2122025,12574,FI,8,9,8,10,10,2.5,4,9
ESS10e03_3,2122025,12585,FI,9,8,7,8,9,2.5,6,7
ESS10e03_3,2122025,12602,FI,7,8,5,8,5,10.0,4,7
ESS10e03_3,2122025,12626,FI,9,9,1,8,,5.0,5,5
ESS10e03_3,2122025,12634,FI,9,9,7,9,10,7.5,8,8
ESS10e03_3,2122025,12676,FI,8,9,5,8,2,10.0,5,8
ESS10e03_3,2122025,12705,FI,10,7,6,7,8,5.0,8,10
ESS10e03_3,2122025,12717,FI,6,8,4,8,2,7.5,,3
ESS10e03_3,2122025,12723,FI,8,10,5,9,5,7.5,5,6
ESS10e03_3,2122025,12734,FI,9,9,8,9,3,7.5,9,9
ESS10e03_3,2122025,12735,FI,9,9,5,7,5,10.0,5,8
ESS10e03_3,2122025,12768,FI,8,9,5,9,3,7.5,5,8
ESS10e03_3,2122025,12779,FI,9,9,6,8,4,5.0,7,9
ESS10e03_3,2122025,12781,FI,9,10,6,10,5,5.0,8,1
ESS10e03_3,2122025,12783,FI,8,8,5,8,,7.5,5,7
ESS10e03_3,2122025,12788,FI,7,7,5,7,8,5.0,7,7
ESS10e03_3,2122025,12792,FI,8,10,6,4,9,0.0,5,9
ESS10e03_3,2122025,12803,FI,8,9,6,7,8,10.0,6,6
ESS10e03_3,2122025,12848,FI,9,10,8,9,3,7.5,6,8
ESS10e03_3,2122025,12865,FI,7,8,6,6,2,5.0,6,7
ESS10e03_3,2122025,12870,FI,8,8,6,8,6,10.0,8,8
ESS10e03_3,2122025,12880,FI,10,9,6,8,8,5.0,7,5
ESS10e03_3,2122025,12884,FI,9,9,7,6,4,10.0,8,6
ESS10e03_3,2122025,12900,FI,9,5,5,9,9,5.0,5,8
ESS10e03_3,2122025,12902,FI,9,7,8,8,8,10.0,8,10
ESS10e03_3,2122025,12910,FI,6,8,3,6,6,7.5,2,0
ESS10e03_3,2122025,12915,FI,8,9,5,6,0,7.5,4,3
ESS10e03_3,2122025,12920,FI,8,9,5,9,8,5.0,8,10
ESS10e03_3,2122025,12930,FI,8,8,7,8,5,7.5,6,6
ESS10e03_3,2122025,12931,FI,7,9,2,7,7,7.5,8,3
ESS10e03_3,2122025,12946,FI,6,7,3,9,10,2.5,9,8
ESS10e03_3,2122025,12951,FI,,9,4,,,5.0,5,2
ESS10e03_3,2122025,12961,FI,8,8,5,7,5,5.0,5,5
ESS10e03_3,2122025,12969,FI,10,9,6,9,6,7.5,8,9
ESS10e03_3,2122025,12973,FI,8,8,7,9,6,7.5,5,8
ESS10e03_3,2122025,12974,FI,10,10,7,10,8,10.0,10,10
