name;proddate;idno;cntry;trstlgl;trstplc;trstplt;trstsci;lrscale;gincdif;imwbcnt;ccrdprs
ESS10e03_3;2122025;10003;FI;5;5;5;7;5;2;6;5
ESS10e03_3;2122025;10004;FI;8;8;3;8;4;2;8;9
ESS10e03_3;2122025;10017;FI;5;9;2;8;6;2;5;9
ESS10e03_3;2122025;10018;FI;8;9;6;7;7;2;6;0
ESS10e03_3;2122025;10044;FI;9;9;6;6;5;2;10;10
ESS10e03_3;2122025;10048;FI;9;8;7;9;3;3;8;7
ESS10e03_3;2122025;10053;FI;7;8;0;4;10;2;2;0
ESS10e03_3;2122025;10055;FI;8;9;3;7;5;4;5;3
ESS10e03_3;2122025;10059;FI;7;8;3;8;5;4;7;9
ESS10e03_3;2122025;10072;FI;9;9;7;7;7;2;9;8
ESS10e03_3;2122025;10077;FI;8;8;7;8;5;2;3;8
ESS10e03_3;2122025;10104;FI;8;8;5;8;6;2;5;7
ESS10e03_3;2122025;10107;FI;8;8;6;8;6;2;5;7
ESS10e03_3;2122025;10112;FI;5;9;6;7;5;1;3;9
ESS10e03_3;2122025;10114;FI;4;8;1;7;5;1;10;10
ESS10e03_3;2122025;10141;FI;9;10;8;10;7;2;8;7
ESS10e03_3;2122025;10180;FI;8;10;5;7;3;2;5;88
ESS10e03_3;2122025;10183;FI;9;9;7;10;8;2;10;10
ESS10e03_3;2122025;10185;FI;6;6;5;7;77;2;6;6
ESS10e03_3;2122025;10186;FI;8;9;2;9;3;2;8;10
ESS10e03_3;2122025;10219;FI;7;9;8;9;3;2;8;5
ESS10e03_3;2122025;10230;FI;9;10;7;10;4;2;7;8
ESS10e03_3;2122025;10245;FI;6;8;4;8;7;4;4;2
ESS10e03_3;2122025;10262;FI;8;10;0;8;5;2;5;5
ESS10e03_3;2122025;10268;FI;7;9;6;8;6;2;7;7
ESS10e03_3;2122025;10271;FI;0;8;0;8;5;1;5;8
ESS10e03_3;2122025;10279;FI;8;9;6;8;6;3;7;7
ESS10e03_3;2122025;10283;FI;9;8;8;9;0;1;6;9
ESS10e03_3;2122025;10298;FI;8;10;5;9;6;1;4;6
ESS10e03_3;2122025;10300;FI;10;10;8;6;4;3;8;8
ESS10e03_3;2122025;10302;FI;8;7;7;8;5;3;7;8
ESS10e03_3;2122025;10313;FI;7;9;7;9;9;2;4;8
ESS10e03_3;2122025;10320;FI;9;9;7;9;8;3;5;7
ESS10e03_3;2122025;10328;FI;7;9;4;7;0;3;5;2
ESS10e03_3;2122025;10329;FI;10;10;7;9;3;2;6;9
ESS10e03_3;2122025;10333;FI;6;7;6;9;4;1;7;3
ESS10e03_3;2122025;10340;FI;8;9;6;9;6;3;3;9
ESS10e03_3;2122025;10372;FI;5;10;7;8;3;2;9;9
ESS10e03_3;2122025;10379;FI;9;9;7;8;7;4;7;3
ESS10e03_3;2122025;10398;FI;8;9;5;9;8;4;5;5
ESS10e03_3;2122025;10421;FI;8;10;5;7;4;1;2;5
ESS10e03_3;2122025;10432;FI;7;9;6;8;5;2;6;9
ESS10e03_3;2122025;10443;FI;8;8;7;9;6;2;8;10
ESS10e03_3;2122025;10445;FI;6;6;1;6;88;3;5;6
ESS10e03_3;2122025;10454;FI;2;5;0;4;0;1;10;2
ESS10e03_3;2122025;10460;FI;8;9;4;8;7;2;7;9
ESS10e03_3;2122025;10465;FI;7;7;5;5;7;2;5;8
ESS10e03_3;2122025;10482;FI;1;3;1;4;5;2;5;5
ESS10e03_3;2122025;10484;FI;7;8;4;7;5;2;5;7
