name,proddate,idno,cntry,trstlgl,trstplc,trstplt,trstsci,lrscale,gincdif,imwbcnt,ccrdprs
ESS10e03_3,2122025,10528,IT,8,8,0,9,,7.5,0,0
ESS10e03_3,2122025,10546,IT,7,7,5,7,3,7.5,5,6
ESS10e03_3,2122025,10557,IT,7,6,1,7,,5.0,0,8
ESS10e03_3,2122025,10561,IT,8,8,1,8,,7.5,7,6
ESS10e03_3,2122025,10562,IT,3,8,0,5,5,7.5,4,6
ESS10e03_3,2122025,10572,IT,5,6,1,8,8,7.5,5,5
ESS10e03_3,2122025,10575,IT,3,6,2,8,7,7.5,3,4
ESS10e03_3,2122025,10596,IT,5,6,6,8,7,2.5,4,3
ESS10e03_3,2122025,10601,IT,7,9,0,6,3,7.5,3,5
ESS10e03_3,2122025,10606,IT,8,8,8,8,,7.5,7,4
ESS10e03_3,2122025,10615,IT,7,10,,9,,10.0,10,6
ESS10e03_3,2122025,10616,IT,8,9,6,9,8,7.5,3,6
ESS10e03_3,2122025,10621,IT,6,6,0,7,,7.5,4,1
ESS10e03_3,2122025,10640,IT,5,7,2,8,8,2.5,3,5
ESS10e03_3,2122025,10644,IT,0,6,1,5,,7.5,0,0
ESS10e03_3,2122025,10649,IT,10,8,0,2,,10.0,8,7
ESS10e03_3,2122025,10660,IT,6,8,7,9,9,7.5,5,7
ESS10e03_3,2122025,10661,IT,7,7,4,7,4,7.5,7,5
ESS10e03_3,2122025,10674,IT,1,5,0,5,5,7.5,0,8
ESS10e03_3,2122025,10680,IT,3,5,2,6,6,5.0,4,6
ESS10e03_3,2122025,10685,IT,3,5,2,5,8,10.0,4,8
ESS10e03_3,2122025,10687,IT,6,7,4,9,,10.0,8,6
ESS10e03_3,2122025,10712,IT,0,8,3,8,,7.5,6,8
ESS10e03_3,2122025,10715,IT,0,7,0,5,0,7.5,0,10
ESS10e03_3,2122025,10722,IT,5,8,3,8,7,7.5,4,6
ESS10e03_3,2122025,10733,IT,5,6,2,8,7,10.0,6,8
ESS10e03_3,2122025,10735,IT,7,8,2,8,8,7.5,8,5
ESS10e03_3,2122025,10745,IT,7,7,6,8,1,5.0,1,3
ESS10e03_3,2122025,10757,IT,6,7,6,8,,,,7
ESS10e03_3,2122025,10759,IT,6,7,1,8,6,2.5,3,6
ESS10e03_3,2122025,10779,IT,4,6,0,8,,10.0,0,6
ESS10e03_3,2122025,10782,IT,2,9,2,9,,10.0,1,8
ESS10e03_3,2122025,10784,IT,6,5,5,7,,,5,3
ESS10e03_3,2122025,10793,IT,5,5,5,6,8,10.0,5,6
ESS10e03_3,2122025,10795,IT,5,7,4,7,7,10.0,0,4
ESS10e03_3,2122025,10808,IT,4,9,3,9,5,10.0,2,9
ESS10e03_3,2122025,10814,IT,7,9,3,8,7,10.0,7,7
ESS10e03_3,2122025,10816,IT,5,6,2,8,7,5.0,6,7
ESS10e03_3,2122025,10818,IT,4,4,4,5,5,5.0,5,5
ESS10e03_3,2122025,10831,IT,7,6,5,7,8,7.5,5,6
ESS10e03_3,2122025,10837,IT,2,4,1,8,5,2.5,5,1
ESS10e03_3,2122025,10841,IT,0,1,0,3,,10.0,1,4
ESS10e03_3,2122025,10847,IT,8,7,7,8,7,5.0,4,7
ESS10e03_3,2122025,10848,IT,7,8,6,10,2,10.0,5,10
ESS10e03_3,2122025,10858,IT,1,6,5,3,4,7.5,8,8
ESS10e03_3,2122025,10868,IT,6,6,6,8,6,10.0,8,4
ESS10e03_3,2122025,10870,IT,7,8,6,8,3,7.5,7,8
ESS10e03_3,2122025,10875,IT,1,10,1,10,10,2.5,2,3
ESS10e03_3,2122025,10898,IT,6,6,3,8,3,10.0,8,7
ESS10e03_3,2122025,10908,IT,4,6,2,7,10,10.0,1,0
ESS10e03_3,2122025,10917,IT,4,5,2,6,8,7.5,0,7
ESS10e03_3,2122025,10920,IT,2,2,0,8,,10.0,4,7
ESS10e03_3,2122025,10948,IT,9,8,6,10,5,7.5,8,10
ESS10e03_3,2122025,10969,IT,6,6,,8,1,7.5,,7
ESS10e03_3,2122025,10984,IT,0,0,0,5,5,10.0,3,6
ESS10e03_3,2122025,10985,IT,5,4,1,7,4,10.0,5,8
ESS10e03_3,2122025,10988,IT,2,9,0,8,5,7.5,3,2
ESS10e03_3,2122025,10989,IT,7,7,4,9,2,7.5,5,10
ESS10e03_3,2122025,10996,IT,2,4,0,6,3,10.0,0,6
ESS10e03_3,2122025,11015,IT,7,7,5,8,,7.5,1,8
ESS10e03_3,2122025,11021,IT,3,3,2,2,3,7.5,1,5
ESS10e03_3,2122025,11022,IT,2,5,0,5,10,10.0,5,8
ESS10e03_3,2122025,11026,IT,1,5,2,7,8,2.5,3,6
ESS10e03_3,2122025,11027,IT,3,4,2,7,5,7.5,5,8
ESS10e03_3,2122025,11036,IT,8,8,3,8,,10.0,4,4
ESS10e03_3,2122025,11039,IT,5,5,3,10,,7.5,5,8
ESS10e03_3,2122025,11040,IT,8,8,6,7,,7.5,5,8
ESS10e03_3,2122025,11043,IT,7,7,3,7,,7.5,6,3
ESS10e03_3,2122025,11045,IT,7,5,2,8,2,7.5,5,9
ESS10e03_3,2122025,11049,IT,5,6,4,5,5,7.5,4,5
ESS10e03_3,2122025,11051,IT,5,5,5,7,,7.5,8,8
ESS10e03_3,2122025,11070,IT,4,5,0,6,4,7.5,0,5
ESS10e03_3,2122025,11073,IT,7,4,3,,,10.0,4,5
ESS10e03_3,2122025,11086,IT,2,3,3,4,3,7.5,3,3
ESS10e03_3,2122025,11093,IT,6,8,6,9,2,10.0,5,7
ESS10e03_3,2122025,11095,IT,6,9,6,10,5,5.0,7,7
ESS10e03_3,2122025,11097,IT,5,8,6,10,,7.5,4,6
ESS10e03_3,2122025,11103,IT,6,7,4,8,,7.5,,0
ESS10e03_3,2122025,11106,IT,6,7,4,7,,10.0,4,10
ESS10e03_3,2122025,11111,IT,7,8,5,10,,7.5,7,7
ESS10e03_3,2122025,11123,IT,0,4,0,4,10,5.0,4,1
ESS10e03_3,2122025,11128,IT,3,5,0,3,3,7.5,3,7
ESS10e03_3,2122025,11132,IT,5,5,5,8,5,7.5,8,6
ESS10e03_3,2122025,11143,IT,4,5,4,5,4,7.5,5,3
ESS10e03_3,2122025,11146,IT,5,2,4,4,0,10.0,6,6
ESS10e03_3,2122025,11154,IT,3,7,3,8,6,7.5,6,7
ESS10e03_3,2122025,11156,IT,3,6,1,8,,5.0,5,5
ESS10e03_3,2122025,11160,IT,7,7,6,8,7,7.5,6,8
ESS10e03_3,2122025,11162,IT,6,8,5,9,2,10.0,5,9
ESS10e03_3,2122025,11175,IT,2,3,0,2,5,7.5,2,7
