"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",4,1.02300350748383,0,0.834642285188922,1,1,0.833333333333333,"trstlgl"
"trstplc","trstplc",7,0.886126682266261,8,2.76681664326103,0.889836728479869,1,0.666666666666667,"trstplc"
"trstplt","trstplt",8,0.856785297551597,10,2.69508165767526,0.774152695950103,1,0.678571428571429,"trstplt"
"trstsci","trstsci",7,0.827755353454495,1,1.72290598393841,0.698324979055946,1,0.714285714285714,"trstsci"
"ccrdprs","ccrdprs",6,0.425956185916237,5,2.23782151136026,0.308503160535504,2,0.733333333333333,"ccrdprs"
"gincdif","gincdif",5,0.33885631195807,5,2.71213147981465,0.218608285643662,2,0.8,"gincdif"
"lrscale","lrscale",6,0.820652436620574,3,1.95918898513989,0.527585498178946,2,0.733333333333333,"lrscale"
"imwbcnt","imwbcnt",6,0.856763496014646,5,2.09778803112544,0.591151260232813,2,0.666666666666667,"imwbcnt"
"rlgdgr","rlgdgr",5,0.397640453894616,0,1.49509959224355,0.334076710842796,1,0.9,"rlgdgr"
