"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",5,1.00601676812987,7,2.36403497069261,1,1,0.9,"trstlgl"
"trstplc","trstplc",6,0.924571586747627,2,2.14293934021825,0.919837339417116,1,0.8,"trstplc"
"trstplt","trstplt",6,0.905510386046839,1,1.83705604277371,0.802917431834286,1,0.8,"trstplt"
"ccrdprs","ccrdprs",7,0.659614572932248,6,2.49033504561343,0.400104509633978,2,0.761904761904762,"ccrdprs"
"gincdif","gincdif",5,0.445975120186201,2,2.14322369185432,0.198227335119907,2,0.8,"gincdif"
"lrscale","lrscale",5,0.41599540131039,4,2.17888671837013,0.192530566760466,2,0.8,"lrscale"
"imwbcnt","imwbcnt",7,0.89373745618294,0,1.69446944869748,0.549654390659901,2,0.761904761904762,"imwbcnt"
"rlgdgr","rlgdgr",5,0.3826312351641,1,1.93214360957148,0.259194188876471,2,0.9,"rlgdgr"
