"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",6,1.1568507118993,2,3.69946067483902,1,1,0.933333333333333,"trstlgl"
"trstplc","trstplc",7,1.07739663964961,0,4.07733279502345,0.936701848261651,1,0.904761904761905,"trstplc"
"trstplt","trstplt",7,0.771024417534513,2,3.91111044214124,0.699614377541497,1,0.904761904761905,"trstplt"
"ccrdprs","ccrdprs",7,0.368628208696544,9,4.40693946670969,0.274673957608162,2,0.904761904761905,"ccrdprs"
"gincdif","gincdif",6,0.334914438721691,3,3.91112612140887,0.234026625761253,2,0.933333333333333,"gincdif"
"lrscale","lrscale",7,0.948094203172461,0,3.37414349683948,0.653030490263097,2,0.904761904761905,"lrscale"
"imwbcnt","imwbcnt",6,0.894171924117083,0,1.59035942365109,0.675253596875124,2,0.933333333333333,"imwbcnt"
"rlgdgr","rlgdgr",6,0.322226089907042,6,4.30986161425579,0.224701174577964,2,0.933333333333333,"rlgdgr"
