"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",6,1.13945935796741,0,1.94528029959784,1,1,0.866666666666667,"trstlgl"
"trstplc","trstplc",6,0.736031211247974,10,2.66970804448744,0.752288086117417,1,0.666666666666667,"trstplc"
"trstplt","trstplt",6,0.766016378576934,0,2.0711321304249,0.72945031492972,1,0.866666666666667,"trstplt"
"trstsci","trstsci",7,0.845030201377283,2,2.17024849875431,0.763868584582127,1,0.809523809523809,"trstsci"
"ccrdprs","ccrdprs",8,0.566569720960842,11,2.692921442325,0.342395412013368,2,0.714285714285714,"ccrdprs"
"gincdif","gincdif",4,0.490554507114573,0,1.4227950007984,0.235834767791576,2,0.833333333333333,"gincdif"
"lrscale","lrscale",6,0.702603484913932,5,2.74475755247888,0.307733442063493,2,0.733333333333333,"lrscale"
"imwbcnt","imwbcnt",7,0.603284689887702,2,2.1881622907018,0.394012707250354,2,0.714285714285714,"imwbcnt"
"rlgdgr","rlgdgr",6,0.357632018079361,5,2.45155960315155,0.294424931148743,1,0.866666666666667,"rlgdgr"
