"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",5,1.18036647731898,0,2.87408477966566,1,1,0.8,"trstlgl"
"trstplc","trstplc",5,0.908499250646819,1,2.81840797066775,0.8471150654949,1,0.9,"trstplc"
"trstplt","trstplt",8,1.02570201112409,0,2.06959055312328,0.711053902850361,2,0.607142857142857,"trstplt"
"trstsci","trstsci",7,0.537204588086016,16,3.26880883322966,0.462817425878236,1,0.619047619047619,"trstsci"
"ccrdprs","ccrdprs",3,0.179381671723348,0,2.50774398111132,0.0864377266839088,2,1,"ccrdprs"
"gincdif","gincdif",6,0.405915495676517,3,3.17513160531537,0.215218037699745,2,0.733333333333333,"gincdif"
"lrscale","lrscale",5,0.478849837122974,0,2.27641351178203,0.340931416451544,2,0.7,"lrscale"
"imwbcnt","imwbcnt",5,0.418747929387751,0,2.20149544992676,0.156341570748217,2,0.7,"imwbcnt"
"rlgdgr","rlgdgr",6,0.181393304912248,13,3.60218151397857,0.132994570722856,2,0.8,"rlgdgr"
