"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",6,1.25956264896176,0,1.46781022748029,1,1,0.8,"trstlgl"
"trstplc","trstplc",7,1.15752884022918,0,1.70025110606553,0.867541687099694,2,0.714285714285714,"trstplc"
"trstplt","trstplt",6,0.820467271595512,0,2.16697140597997,0.718491767104173,1,0.866666666666667,"trstplt"
"trstsci","trstsci",5,0.696763742804516,0,1.37992431613287,0.5802158329917,2,0.8,"trstsci"
"ccrdprs","ccrdprs",7,0.537543909182869,10,3.03585353918861,0.300623135571711,3,0.761904761904762,"ccrdprs"
"gincdif","gincdif",7,0.500898853734952,1,2.5396097001101,0.283964446761718,3,0.714285714285714,"gincdif"
"lrscale","lrscale",7,0.70646256320789,0,1.89273907744254,0.502406208676283,1,0.809523809523809,"lrscale"
"imwbcnt","imwbcnt",8,0.658810708265128,14,3.19934821190959,0.451183019018569,1,0.75,"imwbcnt"
"rlgdgr","rlgdgr",5,0.279905513369824,12,3.22781861890297,0.213424679662808,2,0.9,"rlgdgr"
