"Id","label","degree","weighted_degree","betweenness","closeness","eigenvector","modularity_class","clustering_coefficient","Label"
"trstlgl","trstlgl",8,1.32200155552383,3,2.57489617435373,1,1,0.821428571428571,"trstlgl"
"trstplc","trstplc",6,1.03814426168714,0,2.0602780031839,0.869664973703886,1,1,"trstplc"
"trstplt","trstplt",7,0.816654345917613,7,2.17919454264527,0.667802127194391,1,0.904761904761905,"trstplt"
"trstsci","trstsci",8,0.890263431086205,1,2.09197247724378,0.675702133092678,1,0.821428571428571,"trstsci"
"ccrdprs","ccrdprs",6,0.475858858126224,8,2.84054191396842,0.330626833591149,2,0.866666666666667,"ccrdprs"
"gincdif","gincdif",5,0.595598648255879,0,1.8289227806615,0.347233522554185,3,0.9,"gincdif"
"lrscale","lrscale",7,0.915293606249501,5,2.49028137737969,0.510141916249881,3,0.857142857142857,"lrscale"
"imwbcnt","imwbcnt",7,0.939927496280764,0,1.7330992627652,0.641877432727998,2,0.904761904761905,"imwbcnt"
"rlgdgr","rlgdgr",8,0.675534092038453,8,2.85588111762602,0.440190503124147,3,0.821428571428571,"rlgdgr"
