name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,51692,1,NL,1,5,6,5,7,6,7.5,2,4,1
ESS10e03_3,02.12.2025,51711,6,NL,2,5,7,4,6,4,7.5,5,6,7
ESS10e03_3,02.12.2025,51721,3,NL,2,9,10,7,7,8,7.5,2,9,10
ESS10e03_3,02.12.2025,51773,6,NL,2,3,6,5,5,7,2.5,8,,5
ESS10e03_3,02.12.2025,51830,2,NL,2,8,8,7,9,9,10.0,3,8,3
ESS10e03_3,02.12.2025,51842,2,NL,2,4,5,5,8,7,7.5,3,7,4
ESS10e03_3,02.12.2025,51845,3,NL,2,5,0,0,2,4,7.5,10,2,0
ESS10e03_3,02.12.2025,51856,1,NL,1,6,7,4,7,5,5.0,,5,3
ESS10e03_3,02.12.2025,51861,3,NL,1,7,8,2,,2,7.5,8,5,6
ESS10e03_3,02.12.2025,51918,7,NL,2,8,9,7,8,7,7.5,5,5,6
ESS10e03_3,02.12.2025,51924,7,NL,1,6,10,7,8,7,10.0,6,5,6
ESS10e03_3,02.12.2025,51958,1,NL,1,6,0,4,,8,10.0,0,2,0
ESS10e03_3,02.12.2025,51998,5,NL,2,4,7,8,8,5,7.5,5,4,6
ESS10e03_3,02.12.2025,52025,3,NL,2,8,8,7,9,6,2.5,7,4,1
ESS10e03_3,02.12.2025,52054,5,NL,1,7,7,1,9,5,7.5,4,3,0
ESS10e03_3,02.12.2025,52076,6,NL,1,8,9,5,9,9,7.5,5,7,3
ESS10e03_3,02.12.2025,52086,7,NL,2,6,7,6,7,8,7.5,6,8,0
ESS10e03_3,02.12.2025,52099,4,NL,2,6,7,7,8,8,7.5,7,7,2
ESS10e03_3,02.12.2025,52102,4,NL,2,8,9,4,9,7,7.5,5,6,0
ESS10e03_3,02.12.2025,52105,7,NL,1,8,8,6,7,6,10.0,7,5,8
