name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10394,7,GR,2,10,10,2,9,,10.0,,0,10
ESS10e03_3,02.12.2025,10398,6,GR,1,9,9,2,9,7,10.0,1,1,5
ESS10e03_3,02.12.2025,10401,3,GR,1,6,7,3,4,6,5.0,6,2,8
ESS10e03_3,02.12.2025,10402,99,GR,1,1,4,0,7,8,10.0,,1,7
ESS10e03_3,02.12.2025,10414,3,GR,1,4,4,2,5,4,10.0,5,3,5
ESS10e03_3,02.12.2025,10425,6,GR,1,7,8,3,9,0,10.0,2,4,4
ESS10e03_3,02.12.2025,10427,5,GR,1,6,7,2,8,3,2.5,5,7,6
ESS10e03_3,02.12.2025,10432,4,GR,1,8,8,5,9,6,7.5,7,3,7
ESS10e03_3,02.12.2025,10439,3,GR,2,9,9,0,10,8,10.0,5,8,10
ESS10e03_3,02.12.2025,10442,3,GR,2,9,4,3,10,5,10.0,6,3,8
ESS10e03_3,02.12.2025,10445,5,GR,1,2,2,0,6,7,7.5,5,3,1
ESS10e03_3,02.12.2025,10465,1,GR,1,8,7,8,9,6,10.0,6,8,7
ESS10e03_3,02.12.2025,10466,99,GR,1,5,7,3,8,8,10.0,,0,8
ESS10e03_3,02.12.2025,10476,4,GR,2,6,5,3,5,3,10.0,5,8,8
ESS10e03_3,02.12.2025,10478,5,GR,2,7,7,5,9,6,7.5,7,3,5
ESS10e03_3,02.12.2025,10484,5,GR,1,7,9,3,8,5,10.0,2,4,6
ESS10e03_3,02.12.2025,10485,3,GR,2,5,4,0,8,7,5.0,4,,5
ESS10e03_3,02.12.2025,10489,3,GR,1,7,9,7,9,8,10.0,9,8,8
ESS10e03_3,02.12.2025,10490,4,GR,2,9,9,0,9,6,2.5,5,3,6
ESS10e03_3,02.12.2025,10491,4,GR,1,8,8,1,9,8,7.5,5,7,7
ESS10e03_3,02.12.2025,10508,4,GR,1,6,6,3,5,6,10.0,4,0,7
ESS10e03_3,02.12.2025,10526,3,GR,1,10,10,10,9,,5.0,10,8,3
ESS10e03_3,02.12.2025,10528,5,GR,2,3,4,2,4,7,10.0,2,4,7
ESS10e03_3,02.12.2025,10546,6,GR,2,3,5,0,7,6,10.0,5,1,6
ESS10e03_3,02.12.2025,10557,2,GR,1,6,6,1,6,7,10.0,4,4,4
ESS10e03_3,02.12.2025,10558,2,GR,1,8,7,4,8,7,10.0,3,5,2
ESS10e03_3,02.12.2025,10561,5,GR,2,7,7,6,8,6,7.5,8,7,7
ESS10e03_3,02.12.2025,10574,3,GR,2,8,8,3,7,6,10.0,5,4,10
ESS10e03_3,02.12.2025,10575,5,GR,1,4,6,4,5,5,10.0,5,5,7
ESS10e03_3,02.12.2025,10579,4,GR,1,7,8,7,8,7,7.5,9,,7
ESS10e03_3,02.12.2025,10580,7,GR,1,6,6,4,6,3,10.0,5,5,4
ESS10e03_3,02.12.2025,10581,6,GR,2,2,3,,7,6,10.0,3,2,4
ESS10e03_3,02.12.2025,10598,5,GR,2,8,10,4,9,2,10.0,3,3,3
ESS10e03_3,02.12.2025,10599,99,GR,1,5,5,0,8,4,7.5,,5,5
ESS10e03_3,02.12.2025,10606,5,GR,1,9,9,4,9,6,5.0,5,5,6
ESS10e03_3,02.12.2025,10610,4,GR,1,5,8,8,9,5,7.5,8,0,10
ESS10e03_3,02.12.2025,10611,2,GR,2,6,6,4,8,7,10.0,4,4,3
ESS10e03_3,02.12.2025,10615,3,GR,1,7,7,2,10,7,10.0,5,4,9
ESS10e03_3,02.12.2025,10616,2,GR,2,7,7,7,9,8,10.0,6,3,6
ESS10e03_3,02.12.2025,10623,6,GR,1,5,8,4,8,,7.5,8,4,4
ESS10e03_3,02.12.2025,10627,4,GR,1,6,5,4,7,6,10.0,,5,7
ESS10e03_3,02.12.2025,10629,1,GR,1,7,9,1,9,8,,8,6,10
ESS10e03_3,02.12.2025,10633,5,GR,2,6,6,7,6,,7.5,8,6,7
ESS10e03_3,02.12.2025,10634,5,GR,1,4,5,3,2,6,5.0,3,5,5
ESS10e03_3,02.12.2025,10648,3,GR,1,7,6,6,6,8,5.0,6,9,8
ESS10e03_3,02.12.2025,10660,7,GR,1,6,4,3,7,6,5.0,0,5,5
ESS10e03_3,02.12.2025,10661,3,GR,2,9,9,6,8,7,7.5,5,5,6
ESS10e03_3,02.12.2025,10664,3,GR,1,5,6,3,7,5,7.5,7,3,7
ESS10e03_3,02.12.2025,10673,4,GR,2,9,9,3,9,5,7.5,5,4,7
ESS10e03_3,02.12.2025,10677,2,GR,1,9,9,4,9,6,7.5,5,6,7
ESS10e03_3,02.12.2025,10703,5,GR,1,7,8,5,7,5,10.0,,5,8
ESS10e03_3,02.12.2025,10712,2,GR,2,9,10,2,9,1,7.5,3,1,3
ESS10e03_3,02.12.2025,10713,3,GR,2,9,9,3,9,2,10.0,6,2,8
ESS10e03_3,02.12.2025,10715,2,GR,1,5,5,5,8,9,10.0,3,7,2
ESS10e03_3,02.12.2025,10716,2,GR,2,6,5,4,8,8,10.0,3,6,2
ESS10e03_3,02.12.2025,10724,5,GR,1,9,9,3,9,8,10.0,9,1,9
ESS10e03_3,02.12.2025,10735,4,GR,1,5,8,4,8,4,7.5,7,5,5
ESS10e03_3,02.12.2025,10759,5,GR,2,2,8,3,8,6,7.5,5,3,9
ESS10e03_3,02.12.2025,10760,5,GR,1,5,4,1,10,6,10.0,2,3,0
ESS10e03_3,02.12.2025,10771,6,GR,2,6,5,5,7,5,7.5,5,5,7
ESS10e03_3,02.12.2025,10784,4,GR,1,8,8,8,9,7,7.5,9,6,7
ESS10e03_3,02.12.2025,10793,4,GR,1,8,8,7,9,7,5.0,4,4,5
ESS10e03_3,02.12.2025,10795,4,GR,2,8,8,3,9,5,10.0,9,1,10
ESS10e03_3,02.12.2025,10802,5,GR,2,2,7,2,7,8,10.0,2,2,3
ESS10e03_3,02.12.2025,10808,2,GR,1,6,5,6,5,7,0.0,4,8,
