name,proddate,idno,agegroup,cntry,gndr,trstlgl,trstplc,trstplt,trstsci,ccrdprs,gincdif,lrscale,imwbcnt,rlgdgr
ESS10e03_3,02.12.2025,10684,5,FI,2,2,6,5,7,0,10.0,2,7,6
ESS10e03_3,02.12.2025,10687,4,FI,1,9,9,6,8,8,5.0,8,7,2
ESS10e03_3,02.12.2025,10699,4,FI,2,6,7,5,7,4,7.5,6,3,4
ESS10e03_3,02.12.2025,10703,3,FI,1,7,8,4,8,2,7.5,6,3,0
ESS10e03_3,02.12.2025,10712,7,FI,2,10,10,8,9,9,7.5,7,7,8
ESS10e03_3,02.12.2025,10724,6,FI,1,8,9,4,8,7,7.5,4,7,0
ESS10e03_3,02.12.2025,10735,1,FI,2,8,8,6,8,9,7.5,2,5,2
ESS10e03_3,02.12.2025,10766,4,FI,2,8,9,6,7,7,5.0,8,6,0
ESS10e03_3,02.12.2025,10783,5,FI,1,9,7,6,9,10,10.0,1,9,4
ESS10e03_3,02.12.2025,10784,3,FI,1,9,9,6,8,10,5.0,7,6,2
ESS10e03_3,02.12.2025,10795,5,FI,1,8,9,6,9,7,7.5,2,5,5
ESS10e03_3,02.12.2025,10812,3,FI,2,6,9,4,9,8,10.0,7,4,0
ESS10e03_3,02.12.2025,10828,1,FI,2,8,8,6,7,9,7.5,6,5,3
ESS10e03_3,02.12.2025,10865,2,FI,2,6,8,4,9,8,0.0,5,5,0
ESS10e03_3,02.12.2025,10875,5,FI,1,8,9,2,7,7,10.0,8,2,7
ESS10e03_3,02.12.2025,10892,1,FI,1,6,6,7,8,8,7.5,5,5,4
ESS10e03_3,02.12.2025,10897,5,FI,2,2,10,2,8,6,10.0,5,3,5
ESS10e03_3,02.12.2025,10901,2,FI,2,2,3,3,4,6,5.0,5,4,3
ESS10e03_3,02.12.2025,10908,4,FI,2,9,9,7,9,8,5.0,8,6,3
ESS10e03_3,02.12.2025,10913,6,FI,1,9,9,7,9,7,10.0,10,7,7
ESS10e03_3,02.12.2025,10928,5,FI,1,6,8,6,8,7,7.5,5,9,6
ESS10e03_3,02.12.2025,10958,5,FI,2,9,8,7,8,9,5.0,6,9,3
ESS10e03_3,02.12.2025,10974,5,FI,2,7,7,4,5,6,5.0,8,7,8
ESS10e03_3,02.12.2025,10998,5,FI,2,7,10,8,5,6,7.5,2,2,5
ESS10e03_3,02.12.2025,11021,1,FI,1,9,9,6,9,8,2.5,8,6,5
ESS10e03_3,02.12.2025,11039,7,FI,2,10,10,7,8,10,,3,6,6
ESS10e03_3,02.12.2025,11047,7,FI,1,10,10,6,8,6,10.0,9,7,10
ESS10e03_3,02.12.2025,11058,6,FI,2,7,8,7,7,8,7.5,8,5,9
ESS10e03_3,02.12.2025,11065,7,FI,1,7,8,4,3,4,10.0,,5,5
ESS10e03_3,02.12.2025,11070,4,FI,1,9,9,6,8,7,2.5,8,7,5
ESS10e03_3,02.12.2025,11105,2,FI,1,8,9,6,9,7,7.5,7,5,8
ESS10e03_3,02.12.2025,11120,1,FI,2,3,8,5,7,8,7.5,1,8,2
ESS10e03_3,02.12.2025,11128,5,FI,1,9,10,8,10,9,5.0,6,9,0
ESS10e03_3,02.12.2025,11130,5,FI,2,6,9,4,10,7,10.0,2,5,0
ESS10e03_3,02.12.2025,11131,6,FI,1,1,9,0,0,0,10.0,6,3,2
ESS10e03_3,02.12.2025,11135,1,FI,2,7,7,5,8,8,10.0,0,9,6
ESS10e03_3,02.12.2025,11139,6,FI,1,6,8,4,8,5,10.0,8,4,7
ESS10e03_3,02.12.2025,11146,4,FI,2,8,9,8,9,1,2.5,6,7,10
ESS10e03_3,02.12.2025,11164,2,FI,1,5,9,3,8,6,7.5,6,4,1
ESS10e03_3,02.12.2025,11174,4,FI,1,8,9,5,6,8,7.5,5,5,8
ESS10e03_3,02.12.2025,11183,2,FI,2,9,9,8,9,7,7.5,6,7,4
ESS10e03_3,02.12.2025,11195,4,FI,2,9,9,8,9,9,5.0,8,8,6
ESS10e03_3,02.12.2025,11205,7,FI,2,7,8,5,7,7,5.0,8,7,9
ESS10e03_3,02.12.2025,11216,6,FI,2,8,9,6,9,7,10.0,3,7,0
ESS10e03_3,02.12.2025,11227,5,FI,1,10,10,7,6,1,5.0,8,3,7
ESS10e03_3,02.12.2025,11232,2,FI,1,7,10,3,9,8,7.5,8,3,6
ESS10e03_3,02.12.2025,11237,2,FI,1,6,6,3,8,5,7.5,5,7,1
ESS10e03_3,02.12.2025,11251,4,FI,1,8,8,8,10,3,2.5,10,5,2
ESS10e03_3,02.12.2025,11269,4,FI,2,8,9,7,9,9,7.5,4,8,4
